[0x00000000]> /x 00~ff
Do you want to print 3300 lines? (y/N) y
0x0010ffd9 hit0_65511 00
0x0010ffda hit0_65512 00
0x0010ffdb hit0_65513 00
0x0010ffdc hit0_65514 00
0x0010ffdd hit0_65515 00
0x0010ffde hit0_65516 00
0x0010ffdf hit0_65517 00
0x0010ffe0 hit0_65518 00
0x0010ffe1 hit0_65519 00
0x0010ffe2 hit0_65520 00
0x0010ffe3 hit0_65521 00
0x0010ffe4 hit0_65522 00
0x0010ffe5 hit0_65523 00
0x0010ffe6 hit0_65524 00
0x0010ffe7 hit0_65525 00
0x0010ffe8 hit0_65526 00
0x0010ffe9 hit0_65527 00
0x0010ffea hit0_65528 00
0x0010ffeb hit0_65529 00
0x0010ffec hit0_65530 00
0x0010ffed hit0_65531 00
0x0010ffee hit0_65532 00
0x0010ffef hit0_65533 00
0x0010fff0 hit0_65534 00
0x0010fff1 hit0_65535 00
0x0010fff2 hit0_65536 00
0x0010fff3 hit0_65537 00
0x0010fff4 hit0_65538 00
0x0010fff5 hit0_65539 00
0x0010fff6 hit0_65540 00
0x0010fff7 hit0_65541 00
0x0010fff8 hit0_65542 00
0x0010fff9 hit0_65543 00
0x0010fffa hit0_65544 00
0x0010fffb hit0_65545 00
0x0010fffc hit0_65546 00
0x0010fffd hit0_65547 00
0x0010fffe hit0_65548 00
0x0010ffff hit0_65549 00
0x001100ff hit0_65805 00
0x001101ff hit0_66061 00
0x001102ff hit0_66317 00
0x001103ff hit0_66573 00
0x001104ff hit0_66829 00
0x001105ff hit0_67085 00
0x001106ff hit0_67341 00
0x001107ff hit0_67597 00
0x001108ff hit0_67853 00
0x001109ff hit0_68109 00
0x00110aff hit0_68365 00
0x00110bff hit0_68621 00
0x00110cff hit0_68877 00
0x00110dff hit0_69133 00
0x00110eff hit0_69389 00
0x00110ff0 hit0_69630 00
0x00110ff1 hit0_69631 00
0x00110ff2 hit0_69632 00
0x00110ff3 hit0_69633 00
0x00110ff4 hit0_69634 00
0x00110ff5 hit0_69635 00
0x00110ff6 hit0_69636 00
0x00110ff7 hit0_69637 00
0x00110ff8 hit0_69638 00
0x00110ff9 hit0_69639 00
0x00110ffa hit0_69640 00
0x00110ffb hit0_69641 00
0x00110ffc hit0_69642 00
0x00110ffd hit0_69643 00
0x00110ffe hit0_69644 00
0x00110fff hit0_69645 00
0x001110ff hit0_69901 00
0x001111ff hit0_70157 00
0x001112ff hit0_70413 00
0x001113ff hit0_70669 00
0x001114ff hit0_70925 00
0x001115ff hit0_71181 00
0x001116ff hit0_71437 00
0x001117ff hit0_71693 00
0x001118ff hit0_71949 00
0x001119ff hit0_72205 00
0x00111aff hit0_72461 00
0x00111bff hit0_72717 00
0x00111cff hit0_72973 00
0x00111dff hit0_73229 00
0x00111eff hit0_73485 00
0x00111ff0 hit0_73726 00
0x00111ff1 hit0_73727 00
0x00111ff2 hit0_73728 00
0x00111ff3 hit0_73729 00
0x00111ff4 hit0_73730 00
0x00111ff5 hit0_73731 00
0x00111ff6 hit0_73732 00
0x00111ff7 hit0_73733 00
0x00111ff8 hit0_73734 00
0x00111ff9 hit0_73735 00
0x00111ffa hit0_73736 00
0x00111ffb hit0_73737 00
0x00111ffc hit0_73738 00
0x00111ffd hit0_73739 00
0x00111ffe hit0_73740 00
0x00111fff hit0_73741 00
0x001120ff hit0_73997 00
0x001121ff hit0_74253 00
0x001122ff hit0_74509 00
0x001123ff hit0_74765 00
0x001124ff hit0_75021 00
0x001125ff hit0_75277 00
0x001126ff hit0_75533 00
0x001127ff hit0_75789 00
0x001128ff hit0_76045 00
0x001129ff hit0_76301 00
0x00112aff hit0_76557 00
0x00112bff hit0_76813 00
0x00112cff hit0_77069 00
0x00112dff hit0_77325 00
0x00112eff hit0_77581 00
0x00112ff0 hit0_77822 00
0x00112ff1 hit0_77823 00
0x00112ff2 hit0_77824 00
0x00112ff3 hit0_77825 00
0x00112ff4 hit0_77826 00
0x00112ff5 hit0_77827 00
0x00112ff6 hit0_77828 00
0x00112ff7 hit0_77829 00
0x00112ff8 hit0_77830 00
0x00112ff9 hit0_77831 00
0x00112ffa hit0_77832 00
0x00112ffb hit0_77833 00
0x00112ffc hit0_77834 00
0x00112ffd hit0_77835 00
0x00112ffe hit0_77836 00
0x00112fff hit0_77837 00
0x001130ff hit0_78093 00
0x001131ff hit0_78349 00
0x001132ff hit0_78605 00
0x001133ff hit0_78861 00
0x001134ff hit0_79117 00
0x001135ff hit0_79373 00
0x001136ff hit0_79629 00
0x001137ff hit0_79885 00
0x001138ff hit0_80141 00
0x001139ff hit0_80397 00
0x00113aff hit0_80653 00
0x00113bff hit0_80909 00
0x00113cff hit0_81165 00
0x00113dff hit0_81421 00
0x00113eff hit0_81677 00
0x00113ff0 hit0_81918 00
0x00113ff1 hit0_81919 00
0x00113ff2 hit0_81920 00
0x00113ff3 hit0_81921 00
0x00113ff4 hit0_81922 00
0x00113ff5 hit0_81923 00
